IPAddress,Consent,Blame_Prox,Blame_Dist,Summary,Age,Gender,Ethnicity,Education,SES,Condition
206.15.106.197,1,5,5,The government wanted the poor to rebel against the rich. It worked; but it worked too well. The poor ended up killing the rich to obtain food. The government didn't forsee such violence.,,,,,,2
206.15.106.197,1,5,5,The government wanted the poor to rebel against the rich. The used some vandalism as the powder keg. However; the poor ended up killing innocent people to obtain food from the rich--this was unintended by the government.,27,1,3,5,7,2
96.232.234.56,1,5,7,The government wanted to secretly plot a plan to spark a war between wealthy citizens and industrial workers by creating a food shortage.   Instead the industrial workers invaded a small village and took their food.,24,1,3,5,6,2
68.197.162.135,1,5,6,The govt attempted to start a war using the factory workers; but it backfired and the workers attacked an innocent village.,23,2,5,5,4,2
146.115.152.110,1,2,5,The setting is Europe during war. First the Shaki village was attacked and their lives were made miserable; which was what the gov't expected would happen. Then the Shaki village was doing very well; so they attacked a village on the other side called the Nobi village.,18,2,5,4,4,2
173.87.21.237,1,5,6,The villagers were starving and attacked a nearby village for food - not the one the government had planned on them attacking though.,20,1,5,4,8,2
96.231.3.228,1,3,6,To get revenge on the wealthy village of Shaki; the government used industry workers to sabotage them leading to the members of the village attacking the neighboring village of Nobi and acquiring their resources,21,1,1,5,6,2
70.190.210.240,1,4,7,I small Eastern European country in the 1960's wanted revenge on a Shaki Village. They accomplished this by sabotaging food production; causing workers to go to the village and riot.,25,1,5,4,8,1
97.90.121.240,1,5,2,In the 1960's the government of a small Eastern European country plotted to secretly start war using workers,22,2,5,4,10,1
77.28.95.45,1,4,7,A Eastern European government conducted a plan on starting a war by cutting food supplies.,21,1,5,2,9,1
69.47.202.119,1,4,7,The government of a small Eastern European country sabotaged farms and food stores to engineer a food shortage in order to get revenge on the wealthy Shaki village.,29,1,1,5,6,1
72.171.24.125,1,4,7,The government engineered an uprising; resulting in starvation; restlessness and killing of innocents.,57,2,5,4,9,1
71.170.140.203,1,3,6,To get back at the wealthy citizens of the Shaki village; the government of an Eastern European country set fire to farm machinery and food stores.  As a result; a food deficit occured and the Shaki village was attacked after the citizens had discovered (intentionally revealed by the government) that the village had a surplus of food.,24,1,5,3,8,1
184.153.48.136,1,3,5,The governent planned to starve workers so they would go raid a village and the government ouldnt be blamed,20,2,5,4,7,1
74.222.97.153,1,1,7,govenment plan todestory all the machine of the small time. and set fire to their stores,60,2,1,2,6,1
24.17.232.179,1,3,6,The government wanted to get revenge on the wealthy Shaki village; so they hatched a plan that would cause the public to raid them.,22,1,5,4,5,1
71.123.130.130,1,7,6,The government got the workers to attack the village; but the workers did not know they were being used in this way.,28,2,5,5,6,1
67.136.132.58,1,3,6,During a time of food shortage; the government prompted city workers to attack a village by spreading a rumor that the village had a food surplus.,55,1,5,4,8,1
64.222.224.118,1,2,7,The government burned the villagers' food so that they would attack a neighboring village for their food.,21,1,5,4,7,1
67.163.242.213,1,5,7,The goveernment wanted to get revenge on wealthy citizans,37,2,5,4,5,1
173.72.71.59,1,3,6,The government wanted to create a war between two groups. They created a food shortage which ended in people from the city attacking farmers with food.,21,2,5,4,6,1
173.21.153.31,1,3,7,A government caused a lack of food which in turn caused people to raid a nearby village for food. The village was the target of the government.,30,1,5,5,8,1
24.152.199.236,1,5,6, government wanted to start a war; so they caused a food shortage; and told others about a surplus to start the war.,42,1,5,4,6,1
76.224.178.21,1,2,7,The government of a small European country caused a food shortage in order to get industrial workers to attack wealthy citizens of Shaki village.,30,1,5,5,6,1
207.177.90.198,1,4,7,The government wanted revenge on a local village because they were wealthy; they deliberately created a food shortage so people would attack the village. ,20,1,5,2,8,1
67.5.175.102,1,2,6,The government went in to the village and destroyed farm machinery and food stores so that the people would raid the nearby; wealthier village.,20,1,5,4,9,1
98.154.30.180,1,1,7,The government of a small Eastern Europe country wanted to start a war using workers. They wanted to get revenge on the wealthy people of Shaki village.,25,1,2,4,7,1
67.177.136.87,1,3,6,The goverment plotted a war and there was lack of food and an attack on the people.,38,2,5,2,6,1
69.245.35.82,1,4,6,The government manipulated workers into attacking a village they didn't like,19,1,5,4,8,1
108.201.218.9,1,4,4,The government manipulated industrial workers into attacking a small village by destroying their own food production & storage plants.,41,2,5,4,8,1
99.159.208.174,1,4,5,The village was attacked. ,19,2,1,2,8,1
69.88.160.1,1,3,6,An eastern european country wanted an uprising to happen for industrial workers. The plan ended up not working as the workers attacked the wrong village.,26,1,5,5,6,1
184.1.117.167,1,4,5,The government wanted to attack a village; so they made it so that one country didn't have enough food and would raid the village.,22,1,5,5,4,1
107.220.211.96,1,7,7,The government came up with a plan and it went wrong ending in the deaths of the villagers. Even if it went right it would have caused them much hardship. ,35,1,5,4,8,1
49.206.34.160,1,5,3,In 1960 government decided to start a war against the shaki village and started torturing people emotionally and physically,27,1,5,4,5,1
96.246.12.52,1,3,4,There was a small Eastern European country that wanted to start a war for revenge. The government kept destroying farm machinery and this resulted in the lack of food for people. ,20,2,3,4,8,1
74.65.172.205,1,1,6,The government created a volatile situation by destroying farms/food supply and the villagers started attack each other and stealing from eachother,42,2,5,5,8,1
184.79.143.111,1,5,4,The government basically set up a civil war in its own country. The government started the attacks and citizens soon followed; causing chaos and food shortages. ,24,1,5,5,7,1
108.218.64.121,1,7,7,The government destroyed the villagers equipment to make money ; and set fire to their stores in an attemt to start a war.,48,2,1,4,7,1
69.26.152.85,1,3,7,One government sough revenge against another region for being wealthy. That region went through hardships due to this revenge.,28,1,5,5,6,1
76.100.223.188,1,1,7,the government planned to secretly strart a war using workers to get revenge on wealthy citizens.,23,1,5,2,6,1
71.87.208.182,1,5,7,A government plotted to start a war with a neighbor; by sabotaging their food supply and sowing discontent with their industial workers; leading to an uprising and eventual slaughter of innocent farmers for their food stores.,29,1,5,4,8,1
24.240.68.30,1,4,6,A government tricked workers into raiding a village,32,1,5,6,9,1
66.180.248.195,1,7,6,The government made food scarce in a town; knowing they would then raid the next villagge that had plenty of food.,34,1,5,4,4,1
69.138.58.49,1,1,7,government intentionally made the food and resources short for a village so the people will attack the rich village to get food there,38,1,3,5,4,1
50.133.6.124,1,7,4,The government plotted to secretly start a war.  They set fires to food stores and destroyed machinery.  This made the industrial workers attack the Shaki village.,30,1,5,2,8,1
180.215.108.6,1,4,5, small Eastern European country has planned to start a war using industrial workers; and as the government believed everything worked perfectly.,39,2,3,5,5,1
184.90.143.183,1,4,6,The government wanted revenge on the wealthy people of the Shakti village. The government destroyed farm equipment which left the town unable to function so the industrial workers raided the homes of wealthy residents after hearing there was a surplus of food in the village.,48,2,1,5,2,1
173.67.9.112,1,5,6,A riot was started and the city was burned / looting was rampant. The government was in on it and knew would happen.,25,1,5,5,5,1
173.79.93.164,1,6,7,The government destroyed the factories and food stores of a small industrial village.  They did this so that the industrial villages would raid their wealthy neighbor.,28,2,3,6,7,1
71.114.86.19,1,4,7,The government planned a mini war. They executed their plan flawlessly.,21,1,1,4,7,1
97.93.68.69,1,4,7,The government want to get revenge on the wealthy so they destroyed stores and equipment so that workers would have no choice but to attack the wealthy so they could have food.,25,2,5,2,9,1
76.176.219.77,1,3,6,A government manipulated people into doing their will.,21,1,3,4,8,1
50.9.112.11,1,4,4,The people were violent in this story. It was a result of revolution.,25,1,1,3,6,1
50.45.173.113,1,4,7,The government of a foreign city had a plan to take revenge on another village.  They set it up so that the stores would burn and they would be out of food and then the people found out this village had food and raided it.,52,2,5,4,5,1
99.116.40.130,1,4,7,A government wanted to start a war using industrial workers against a village. Their plan was succeeding. ,20,2,2,4,6,1
24.163.136.121,1,2,7,The government of a small country used deception to turn citizens to start a war. It worked as they had planned as the people turned against each other.,38,1,5,5,4,1
199.193.99.88,1,3,5,The government planned to start a war by making one group attack something.,19,1,5,4,5,1
75.128.245.37,1,4,6,The government burned crops and machinery so that villagers would be without food.  The villagers heard that the Shaki village had a lot of food so they attacked the Shaki village which was the government's plan the whole time.,29,1,5,5,6,1
66.91.32.253,1,4,6,The government of a small Eastern European country plotted to secretly start a war with a wealthy village near by causing a famine. The planned worked because the workers attacked the village after hearing they had a surplus of food.,32,1,3,5,6,1
72.49.165.172,1,4,6,The government caused a food shortage on purpose; which resulted in riots.,33,2,5,5,8,1
71.47.253.24,1,7,7,A small village is getting ramshackled by industrial workers that are working for the govt. The govt is trying to start a war.,39,1,5,5,4,1
107.200.36.12,1,3,7,The government starved the country to manipulate the people to attack a wealthy village.  The setting was Eastern Europe in the 60s; which made it mildly believable.,60,2,5,8,4,1
192.12.88.224,1,4,7,The government in a foreign country caused harm to the industrial workers (damaged food stores and their work supplies) in hope to get the industrial workers to attack the Shaki people (rich people of that country). The industrial people were left food less; and heard the Shaki had surplus food; so they attacked and killed innocent Shaki people. This was the governments plan the whole time; and it worked out perfectly. ,26,2,3,6,4,1
192.12.88.224,1,4,7,The government of a foreign country provoked the industrial people by damaging their food stores and employment tools; and these people were left foodless. The industrial people heard the Shaki people (rich people) had surplus food and attacked them and killed some innocent people. ,26,2,3,6,4,1
74.90.16.31,1,4,7,An Eastern European village used industrial workers to hurt a wealthy village. They destroyed farm machinery and burned farms; which caused a lack of food in the nation. The industrial workers heard that the Shaki had a food surplus; and attacked; just as the government knew they would. ,54,2,5,5,6,1
68.58.209.251,1,1,7,a government wanted to start a war with a village that had more food than another,34,1,5,2,9,1
71.32.95.109,1,4,7,The government manipulated people to bring the downfall of the village,35,2,6,5,8,1
65.190.215.90,1,4,6,The government plotted to use industrial workers to rage war against the wealthy citizens of Shaki.,31,2,1,6,10,1
72.218.117.215,1,3,7,The government conned the people into doing their dirty work for th em. They destroyed food stores deliberately until there was an uprising.,26,2,1,5,8,1
67.140.71.164,1,5,6,The government burned down grocery stores and farms causing a shortage of food; causing the industry people to attack and kill inocent people,45,2,5,4,9,1
67.163.95.83,1,1,7,In eastern europe the Government induced starving villagers to attack a helpless village!.....,50,1,5,4,6,1
107.218.39.45,1,4,4,The government attacked a small village,23,1,5,4,7,1
209.86.226.19,1,5,7,The government -- who wanted revenge on the wealthy Shaki village -- sabotaged the food supply so that the industrial workers wouldn't have enough food to feed themselves; causing much social unrest.  The government also aired news that the Shaki village had a surplus of food; which led to an attack by the workers on the Shaki villagers.,37,2,2,5,8,1
108.18.38.243,1,6,6,The government decided to incite a revolution by starving the lower class.  This led to those people attacking the targetted group and killing innocent people.,34,2,2,5,4,1
64.134.163.33,1,5,7,The government damaged the farmers equipment and caused a food shortage. This caused crimes to rise. ,48,1,5,2,7,1
131.252.10.194,1,3,7,The government made a plot to start war. they achieved through manipulation,21,2,3,4,4,1
71.21.174.211,1,1,7,The government of a small Eastern European country diminished the food supply of an industrial village in order to get them to attack a wealthier village which had a surplus of food.,22,1,2,2,9,1
66.215.172.171,1,4,5,Government operatives started a mini-war by starving one group knowing they would attack another group.,41,1,2,5,7,1
50.148.85.78,1,4,7,A government secretly set up a plan to get back at the wealthy in another village. The governemt destroyed stores; and leaked information about a food surplus in the wealthy villaige. The villagers were killed for their food.,28,1,3,5,8,1
72.10.210.85,1,7,7,The government purposely destroyed equipment and made it so there was a shortage of food for the people. Then the people were told there was a nearby villiage that had a lot of food so the people attacked the nearby villiage.,51,2,5,4,9,1
72.241.230.199,1,4,7,The government decided to attack a village and they fired on the food store so the people did not find enough food;the govt used the worker in his war,35,1,6,2,8,1
184.101.57.2,1,3,5,False flag arranged by government to pit two sides against one another,48,1,5,2,6,1
50.173.9.48,1,3,7,A GOVERNMENT SECRETLY STARTED A WAR AMONGST IT'S OWN WORKERS TO SEND THE COUNTRY INTO A DOWNWARD SPIRAL. THEY ACHIEVED WHAT THEY HOPED AND THE WHOLE COUNTRY SUFFERED BECAUSE OF IT.,29,2,5,3,3,1
67.181.73.78,1,1,7,The government of a small European country plotted to start a war using industrial workers. In the end this was exactly what happened due to the events caused by the government. ,59,2,5,4,7,1
71.181.201.159,1,7,7,The government started a war and plotted it so that the industrial workers would attack Shaki,33,1,5,4,8,1
184.58.114.82,1,4,6,,,,,,,1
68.216.168.17,1,1,7,The government made a plan for industrial workers to start an uprising.  The plan succeeded just the way the government wanted it to.,25,1,5,4,9,1
71.206.99.120,1,1,7,,,,,,,1
207.224.14.78,1,4,5,,,,,,,1
98.226.134.192,1,4,4,,,,,,,1
71.230.173.67,1,5,4,,,,,,,1
75.145.172.70,1,6,3,,,,,,,1
71.63.8.161,1,4,5,,,,,,,1
68.186.206.206,1,2,7,the government was planning a war so they wanted to encourage one side to start the war.,33,2,5,4,7,1
24.253.27.209,1,1,7,The government tried to make the lower class go after the higher class; but their plan backfired.,27,2,5,4,7,2
97.90.121.240,1,5,3,In the 1960's the government of a small Eastern European country plotted to secretly start a war using industrial workers,20,1,5,4,10,2
70.194.2.96,1,1,7,There was a country in eastern europe whos government tried to create a war with its workers; in the 1960's,23,1,5,5,6,2
66.188.92.142,1,4,5,The government created conditions under which the industrial worker raided a village for food; killing innocents in the process.,37,1,5,5,6,2
75.140.248.14,1,7,7,Workers got outraged over their government and started rioting killing people in the village.,25,1,5,4,4,2
174.63.105.229,1,7,7,The goverment want to incite a war so it destroyed farm equipment.,27,1,5,8,7,2
71.234.93.160,1,7,7,The government planned to take over a village so they planned to use the industrial workers to do so. Then the industrial workers took in upon themselves to raid the village,31,2,5,2,9,2
74.212.2.147,1,2,7,The government of an Eastern European country used workers to get revenge on the wealthy citizens of a village but their plan backfired when the workers started killing innocent people.,39,1,5,1,9,2
12.226.128.130,1,5,5,Government purposely destroy food; then workers went crazy and attacked.,26,1,3,5,5,2
99.170.238.150,1,2,7,The government destroyed a bunch of stuff in order to make its starving citezens fight a village that had a surplus of food.,27,1,5,2,7,2
107.192.104.154,1,6,5,The government of a small European country plotted to start a war using industrial workers.,23,1,3,5,5,2
24.118.85.113,1,4,6,The government destroyed some farm equipment to reduce food supply and get revenge on the Shaki village.,22,2,5,5,6,2
108.249.132.57,1,6,7,The government set fire to machinary in a small eastern European Village.,31,2,1,5,8,2
67.163.242.213,1,4,7,The goverment attacked a village because they had a surplus of food,32,1,5,4,7,2
98.202.55.215,1,5,6,An Eastern European government wanted to start a war using industrial workers to get revenge on the wealthy. They destoyed machinery and lit food on fire.,27,2,5,5,5,2
166.137.209.22,1,3,5,Government tried to cause angst between workers to benefit. Workers ended up stealing from others,27,1,5,4,4,2
24.245.21.167,1,7,4,A government wanted industrial workers to attack a wealthy village; but the workers attacked a different village instead as a result of the government plot.,25,1,5,8,5,2
173.72.74.36,1,7,2,Government of a small European country plotted to start a secret war using industrial workers to get revenge on the rich people. It got out of control though as the workers decided to raid food from another village and ended up killing innocent people.,30,1,5,2,7,2
69.88.160.1,1,3,6,In the 60s a small eastern european government to initiate a uprising using industrial workers. The plan however did not work in the end,26,1,5,5,6,2
96.37.229.10,1,4,5,The government starved out a country to start a war.,35,1,5,4,6,2
76.87.57.65,1,3,7,In order for a war to erupt; the government destroyed farm machinery.  This caused a lack of food in the country; which caused the villagers to pillage and attack a nearby village.,27,1,3,5,7,2
66.214.173.168,1,1,7,Government wanted to get revenge on Shaki Village; plan went wrong.,18,1,3,2,7,2
107.220.211.96,1,7,7,The government came up with a plan and it went wrong ending in the deaths of the villagers. Even if it went right it would have caused them much hardship. ,35,1,5,4,8,2
68.5.218.28,1,7,7,The government planned to start a war on a European village in the 1960's. They destroyed the village and the residents raided another village.,25,2,5,4,5,2
107.0.254.149,1,3,7,The government tried to start a war by destroying equipment and food stores. This caused a raid on an unintended target.,32,1,5,5,6,2
72.199.180.110,1,5,7,The government wanted to get revenge on a wealthy village by causing turmoil.  When the turmiol erupted; a different village was attacked.,50,1,5,5,7,2
107.220.211.96,1,7,7,The government caused a bunch of people in a village to go hungry and kill each other. ,65,2,5,5,7,2
209.103.250.151,1,6,5,The government used industrial workers to get revenge on the wealthy Shaki valley by destroying farm equipment; causing a revolution over the lack of food.,23,1,5,5,8,2
71.195.59.132,1,5,6,Government planned attack on village by causing food shortage in neighboring area.,52,1,5,8,4,2
108.40.56.72,1,4,6,Buildings and other structures were burned and as a result there was a shortage of food. This lead to the workers raiding another village and killing innocent people in order to get food for their village.,25,1,5,5,5,2
71.199.223.24,1,2,5,The government of a town became jealous of a flourishing town and made a failed attempted to completely tear it down.,24,1,1,5,5,2
64.254.163.0,1,5,7,The government deliberately caused a food shortage to create conflict; but it got out of hand and innocent people were killed.,21,2,1,4,8,2
66.66.86.75,1,7,3,Industrial workers raided a village to steal food and killed people after watching a news broadcast. The government didn't expect this.,,1,5,5,5,2
71.236.142.87,1,1,7,An Eastern European country's government wanted to start a war; so they tried to use industrial workers by destroying their country's food supply; and then telling them their targetted village had a lot of food to try and get the workers to attack that village.,26,1,5,4,8,2
70.148.226.205,1,1,7,The government decided to take control of the Shaki village;they burned their crops and destroyed their farm equipment. This did not work as there was plenty of food in the village.,63,2,5,2,7,2
72.210.71.173,1,3,5,A country's government used workers to carry out their plan to get revenge on the rich.,23,2,5,5,5,2
72.25.47.104,1,4,5,The government tried to take revenge out on the wealthy of a village.  It back-fired and another village suffered,61,1,5,5,6,2
96.246.179.163,1,5,7,The government provoked a war.,39,2,1,5,8,2
168.161.192.15,1,4,7,The government had a plan to secretly start a war using industrial workers in order to get revenge on wealthy citizens of Shaki.  Things did not go according to plan and innocent people got hurt and killed.,29,1,3,5,6,2
67.186.114.37,1,4,6,In order to get revenge on a rival village; the government of a country manipulated its industrial workers; the workers ended up raiding another village in rebellion and killed many innocent people.,22,2,2,4,6,2
76.107.245.238,1,5,6,The government wanted to use industrial workers to start a war against a wealthy village. The workers attacked another village.,23,1,5,2,8,2
174.140.69.208,1,3,6,A small Eastern European government wanted revenge on the Shaki Village. They; then; destroyed the village's food.  Soon after this; the group of industrial workers that the government used for revenged raided a neighbor village; stealing food and even killing people.  The government did not expect this.  ,25,1,1,4,7,2
24.179.113.254,1,6,7,The government of an eastern European country hatched the dumbest plan to incite a war ever.,28,2,5,5,8,2
98.77.144.174,1,1,4,Eastern european  had secretly plotted to start a war to get revenge on wealthy citizens of shaki village,21,2,1,4,5,2
108.160.196.73,1,7,7,The government set fire to machinery and food supply to a working class city so they could attack another city. Instead they attacked a neighboring city killing innocent people,25,1,2,3,7,2
66.87.105.195,1,5,2,,25,1,3,4,3,2
72.161.230.171,1,2,7,The government shut down industrial workers in the European country; hoping they'd attack a village; but instead they attacked on the opposite side of the country.,21,1,5,4,7,2
67.162.133.92,1,4,6,The government plotted for war on a certain village; and their plan backfired on them.,23,2,5,5,8,2
99.110.215.3,1,6,7,govt planned to make workers attack shaki by creating a food shortage.  the workers attached the closest foreign village instead,67,2,5,2,6,2
98.226.216.37,1,5,6,The government started a secret war using workers by starving them.  Instead the workers attacked another village and the government didn't plan on that.,30,2,5,5,3,2
75.66.83.78,1,5,5,The government decided to start a war. The food supplies were destroyed. The industrial workers raided another villege to steal food.,72,1,5,4,8,2
96.253.59.126,1,6,7,A government in Eastern Europe wanted to Start a war using industrial workers. There plan failed when the villagers raided a neighbouring village and killing innocent people,21,1,3,4,7,2
67.11.70.71,1,4,7,The government withheld food creating a shortage in the city. Then they told the people in the city that a village was hoarding food and the villagers were attacked and killed.,63,2,5,4,6,2
75.176.122.180,1,4,6,The government decided to set fire to machinery and farms to cause a food shortage. The industrial worker learning there's food in the Shaki village decided to attack it and kill innocent lives.,29,1,3,5,5,2
99.140.183.250,1,4,7,The governement disabled a Shaki village and were surprized when the hungry residents attacked the Nobi village to feed their children. ,72,2,5,6,8,2
98.252.129.110,1,4,7,A government used industrial workers to create an uprising against a wealthy village.  The plan backfired when the workers later attacked and ravaged an innocent village nearby.,30,2,1,5,7,2
76.107.176.39,1,2,6,The workers attacked a village for food because the government caused a famine,29,1,5,6,10,2
129.24.146.23,1,6,5,government created a food shortage.  Gave out information about a village hording food.  Workers attacked a different village.,54,2,5,8,3,2
50.11.124.66,1,3,5,A VILLAGE'S FOOD SUPPLY WAS DESTROYED.,27,2,5,4,6,2
67.181.18.88,1,3,7,The governemented a plan to get industrial workers to nattack a local village but it failed.,18,1,3,4,6,2
65.112.237.251,1,4,4,The government destroed farming equipment to force people in the city to go hungry.,53,2,5,3,4,2
24.18.237.249,1,2,7,Government destroys food in order to rile up workers to attack a certain wealthy village; but they attack a different village instead.,22,2,5,5,7,2
76.102.238.254,1,4,4,the plot to start a war using industrial workers w/c lead to lacking food ,51,1,3,4,5,2
76.6.24.5,1,5,7,The government wanted to get revenge on the wealthy people of the Shaki village so they caused an uprising with the industrial workers. Instead of attacking the village the government planned; the workers attacked another village for food and killed innocent people.,42,2,5,5,7,2
173.185.6.163,1,1,7,In the 1960s; a small government wanted to use industrial workers to take down the Shaki village.  The government attacked the Nobi village instead and raided their food supplies and killed innocent people.,50,2,5,4,6,2
172.2.146.225,1,6,6,Industrial workers were used to destroy food and equipment from a wealthy; nearby village.,55,2,5,4,8,2
184.79.66.122,1,5,5,the government caused a food shortage in Shaki. Industrial workers raided village of Nobi stealing food and killing. government plan failed.,65,1,5,5,9,2
74.197.33.123,1,7,7,an eastern european government tried to incite an action by one group of citizens on another and failed; the attacking group attacked a different group than the government wanted attacked,53,1,5,5,9,2
72.130.92.246,1,3,5,In 1960's the government of a small Eastern European country plotted to secretly start a war using industrial workers; in order to get revenge on the wealthy citizens of the Shaki village. ,22,1,2,5,8,2
76.27.212.144,1,5,7,The government wanted workers to attack a wealthy village; and set up conditions in which they thought they would. The workers ended up attacking a village the government did not anticipate.,27,1,5,5,7,2
76.206.216.214,1,1,7,A government wanted to punish a group of people but the plan backfired.,37,1,5,5,7,2
173.233.178.181,1,1,7,A government orchestrated events that went wrong.,27,2,5,2,9,2
71.176.135.206,1,1,7,The government planned to start a war using industrial workers in order to get revenge on the wealthy  citizens of a small village,35,1,5,5,5,2
173.44.138.234,1,6,6,The government of a country created conditions to cause workers to rise up against the enemies of the government. Unfortunately; the workers attacked a completely different group of people.,43,1,5,5,3,2
70.105.233.247,1,4,6,A war was started by invading a village destroying farms and machinery.,60,2,5,5,8,2
108.2.168.182,1,5,7,,,,,,,2
75.131.60.122,1,5,6,,,,,,,2
50.155.179.108,1,6,4,A small town was targeted by industrial workers for being too wealthy. ,23,1,5,4,5,2
173.50.98.21,1,5,6,The government starved out a city. Reports of a surplus caused workers to pillage a nearby town.,,,,,,2
99.159.208.174,1,2,4,,,,,,,2
142.197.254.100,1,4,7,,,,,,,2
63.247.1.2,1,4,6,,,,,,,2
63.138.112.195,1,4,4,,,,,,,2
69.246.148.122,1,5,7,,,,,,,2
172.1.120.218,1,5,6,The government wanted revenge on the wealthy from the Shaki village. To do so; the government decided to destroy food stores and machinery so that the industrial workers would rebel against the wealthy in the SHaki village after they hear that they have excess food supply.,18,1,3,2,8,2
174.24.60.200,1,1,7,,,,,,,2
71.176.135.206,1,1,7,The government destroyed food stores and farm machinery in order to start a war on the wealthy citizens of a part of there country.,,2,5,5,7,2
